pair_id	global_pair_index	conversation_index	conversation_pair_index	conversation_title	conversation_id	source_shard	filename	conversation_created_utc	conversation_updated_utc	prompt_message_ids	response_message_ids	assistant_models	prompt_char_count	response_char_count	attachment_count	omitted_total	content_sha256	duplicate_group
dt-01-001	1	1	1	Theatrical-Musical Composition System	69c6e4d6-23b4-8328-a4dc-d555365791eb	conversations-019.json	dt-01-001--predict-system-from-photos.md	2026-03-27T20:13:41.997401Z	2026-03-27T22:08:52.246083Z	410a0d46-ec68-4b6d-8b75-04e9b08eb3b0	f886c322-d5ea-4fc5-b526-69c19233dc36	gpt-5-4-thinking	60	4742	7	5	f843309bb4d4e803d1788915efe6df5ecd0a16f25086a933b7aed2e9102ff6ef	
dt-01-002	2	1	2	Theatrical-Musical Composition System	69c6e4d6-23b4-8328-a4dc-d555365791eb	conversations-019.json	dt-01-002--formalize-system-concept.md	2026-03-27T20:13:41.997401Z	2026-03-27T22:08:52.246083Z	6fb4a833-de36-49cf-8899-c628c5629e3f	9143bc96-535b-4640-ae46-c0ecd17597dd	gpt-5-4-thinking	112	13250	0	17	09205f639be92dba4db59ff4f32733e26cfbb134c0dd5428fdeab398ea399185	
dt-02-001	3	2	1	Speech-based Performance System	69c6e938-f0b8-832b-9f51-361505af6b25	conversations-019.json	dt-02-001--predict-system-from-photos.md	2026-03-27T20:32:11.495136Z	2026-03-27T22:07:25.373010Z	20dad69e-306f-41b6-880a-c1f6893fc653	cf02362d-56c5-41ad-92b2-250a6d021a9b	gpt-5-4-thinking	60	7537	7	9	ae13221793460ec07010690e47536205498e4802d67b2ffde626c6d3c9b88682	dt-02-001|dt-03-001
dt-03-001	4	3	1	Branch · Speech-based Performance System	69c6ec6f-164c-8329-ac9c-6734aeda8e5b	conversations-019.json	dt-03-001--predict-system-from-photos.md	2026-03-27T20:45:55.928824Z	2026-03-27T21:48:16.155862Z	20dad69e-306f-41b6-880a-c1f6893fc653	cf02362d-56c5-41ad-92b2-250a6d021a9b	gpt-5-4-thinking	60	7537	7	5	ae13221793460ec07010690e47536205498e4802d67b2ffde626c6d3c9b88682	dt-02-001|dt-03-001
dt-03-002	5	3	2	Branch · Speech-based Performance System	69c6ec6f-164c-8329-ac9c-6734aeda8e5b	conversations-019.json	dt-03-002--dramaturgical-product-frame.md	2026-03-27T20:45:55.928824Z	2026-03-27T21:48:16.155862Z	1ca0b795-0f3d-47ca-97ba-0da8640594cb	f8635c4d-530e-499d-a320-7b812e8b700d	gpt-5-4-thinking	189	7438	0	4	a5cff217fa0d0f690a3aca5628088d0f3fea4d2d3f165e44d79ecf4dce176cf0	
dt-03-003	6	3	3	Branch · Speech-based Performance System	69c6ec6f-164c-8329-ac9c-6734aeda8e5b	conversations-019.json	dt-03-003--user-types-mvp-boundary.md	2026-03-27T20:45:55.928824Z	2026-03-27T21:48:16.155862Z	f2f48600-50d3-4a12-bdc5-b8e881e54b93	0d562b01-8b09-4894-82ea-2ff76849ba46	gpt-5-4-thinking	80	14976	0	6	3d8defdb1a624bcd2ecfb26ce551bbeaf5cd7aaddf3b9ad459c9ca2ca5298dff	
dt-03-004	7	3	4	Branch · Speech-based Performance System	69c6ec6f-164c-8329-ac9c-6734aeda8e5b	conversations-019.json	dt-03-004--formal-mvp-spec.md	2026-03-27T20:45:55.928824Z	2026-03-27T21:48:16.155862Z	bb6f3bbc-0574-4da4-9866-6f69014ccfb2	7e3a2b61-d222-4869-b0d1-892297aa511e	gpt-5-4-thinking	103	21564	0	4	58751a5d6980f7add07ad1edcf7da14a43d74bbc3b12ee0977542ce1a763e6b5	
dt-03-005	8	3	5	Branch · Speech-based Performance System	69c6ec6f-164c-8329-ac9c-6734aeda8e5b	conversations-019.json	dt-03-005--product-design-systems-package.md	2026-03-27T20:45:55.928824Z	2026-03-27T21:48:16.155862Z	34c63c16-c3b0-4af7-b04f-dd17e5dae796	4efd139b-7a83-45a1-9cd3-337acaad9437	gpt-5-4-thinking	294	36249	0	3	05d7016d79f9c027ed22c1554295f8087a8b49c78c67cf3b72f0391b6dab8729	
dt-03-006	9	3	6	Branch · Speech-based Performance System	69c6ec6f-164c-8329-ac9c-6734aeda8e5b	conversations-019.json	dt-03-006--repository-blueprint-handoff.md	2026-03-27T20:45:55.928824Z	2026-03-27T21:48:16.155862Z	1aa85e2f-3048-4543-bf0f-3a0838464a11	ec7109e3-53df-402b-b6b8-b6b1d7832335	gpt-5-4-thinking	178	28386	0	8	2adc66e05b8c4bf0380559e54b319fb748d3a4af6f6f82e3a7d6962f6c1725d4	
dt-04-001	10	4	1	Gap Analysis and Merging	69c700a2-2b2c-832f-bb09-8a6d069b352b	conversations-019.json	dt-04-001--gap-analysis-and-merge.md	2026-03-27T22:12:08.563109Z	2026-03-28T03:55:56.332085Z	16b51266-6d7d-45a1-a237-289f0c89b9c9	129e6469-1103-447e-90db-5584d1600fcd|3d0ee246-09ef-424d-ba25-5321b5f39ccd|4008d56f-77b7-41b1-8cfb-819b6484597c	gpt-5-4-thinking	4861	6665	0	4	b597ccb48cf9e13b38b9a62513f1369e32371206f16b12887420f2ea55fe5e0f	
dt-04-002	11	4	2	Gap Analysis and Merging	69c700a2-2b2c-832f-bb09-8a6d069b352b	conversations-019.json	dt-04-002--canonical-project-definition.md	2026-03-27T22:12:08.563109Z	2026-03-28T03:55:56.332085Z	f4436d1c-9cc8-4f09-a14e-19f4c9b7f29b	8e81bb69-bf77-4318-9c5a-29cb5314c949|84c1c092-a584-4caf-a0ff-2ceb4215736c	gpt-5-4-thinking	124	10749	0	25	2e80d089d0a563227f02f5db63c59fbc032d0da661322bd558bc42ef42a22ff4	
dt-04-003	12	4	3	Gap Analysis and Merging	69c700a2-2b2c-832f-bb09-8a6d069b352b	conversations-019.json	dt-04-003--terminology-charter.md	2026-03-27T22:12:08.563109Z	2026-03-28T03:55:56.332085Z	785c87e5-c3df-422e-a306-8d834c5d8a40	205cb84d-eeb6-40a8-979e-91b7c606df78|6a181e32-a3fa-482b-99c3-a6e0122f1655	gpt-5-4-thinking	125	14998	0	8	616af60c6a7bfe884140b621d87d57c069066101e8a995bdfaef6231be32ca94	
dt-04-004	13	4	4	Gap Analysis and Merging	69c700a2-2b2c-832f-bb09-8a6d069b352b	conversations-019.json	dt-04-004--lexicon-and-style-guide.md	2026-03-27T22:12:08.563109Z	2026-03-28T03:55:56.332085Z	98622ffa-8358-4763-b079-17ea41b7d76c	cc121f9c-03dc-41e4-9c1d-fe9579dc15aa|a872786d-d1aa-4b84-b050-a6b4984241dd	gpt-5-4-thinking	134	863	0	41	d57b0868a6a105e63b31050bf3efed99af3b99a5c9d627b1345b506889959432	
dt-05-001	14	5	1	Tracker and Ableton Features	69c75434-4510-832f-aa2d-381db758c106	conversations-019.json	dt-05-001--tracker-ableton-features.md	2026-03-28T04:08:45.469842Z	2026-03-28T11:13:54.872443Z	ec2783f4-5b34-4222-afa8-24fd13ebae46	77a1c1e7-d66c-4be5-9276-3348aa65325a|d4274a9c-3477-4975-aaea-d99b4f1b517e	gpt-5-4-thinking	54	10128	0	4	5cc4a9ed3027dd0ad7cee838007f7bfde91846b01bb96d531fe6467863940145	
dt-05-002	15	5	2	Tracker and Ableton Features	69c75434-4510-832f-aa2d-381db758c106	conversations-019.json	dt-05-002--pattern-session-arrangement-screens.md	2026-03-28T04:08:45.469842Z	2026-03-28T11:13:54.872443Z	2c103a4f-14d1-45a2-b43d-f1087713af87	cb4de587-23c8-4088-8632-c31f63246afd|1d6be921-3595-4d97-a90f-94ade135603b	gpt-5-4-thinking	158	14407	0	55	37e1f67b81bd0ca1ddc31423253847cc99026a4461b95678ec3a9b82e80ae36c	
dt-06-001	16	6	1	Prototype and POC Steps	69ca687a-0a20-8327-84aa-13ed8f02697f	conversations-019.json	dt-06-001--prototype-and-poc-path.md	2026-03-30T12:11:56.538255Z	2026-03-30T22:15:59.661225Z	646cfcb9-8a66-4728-936b-4e68578ca691	40734158-b27c-465f-83f1-6d5d85bb29c2	gpt-5-4-thinking	66	6279	5	4	32469ea0cd78b6afc3f13aa4374a67e78789551e7bf917920990c8f3ef33d0ab	
dt-06-002	17	6	2	Prototype and POC Steps	69ca687a-0a20-8327-84aa-13ed8f02697f	conversations-019.json	dt-06-002--poc-build-spec-four-screens.md	2026-03-30T12:11:56.538255Z	2026-03-30T22:15:59.661225Z	f49e13ab-e7b4-4078-80b1-ec5d2b11bad0	480cda0b-4334-4e38-9fbd-5633ee6d0b7f	gpt-5-4-thinking	138	1399	0	30	2473441e0fd52230898e068863b58a0d848b29bcb18183220571e8d5ed376407	
dt-06-003	18	6	3	Prototype and POC Steps	69ca687a-0a20-8327-84aa-13ed8f02697f	conversations-019.json	dt-06-003--tracker-time-sequences-essential.md	2026-03-30T12:11:56.538255Z	2026-03-30T22:15:59.661225Z	78028391-a7aa-41d6-80b5-93792f6cdf2b	1a2aa9fd-6ba8-45cf-9ed0-1b2e09c156f9	gpt-5-4-thinking	80	1360	0	16	d7d3b0763855dc6e55e2fed7c62ff56148222a54f5b486ed54174fb8fa6b9426	
dt-07-001	19	7	1	Prototype & Proof of Concept	69caf63d-e7f0-8327-a7d7-f2b9b3b2e634	conversations-019.json	dt-07-001--prototype-and-poc-path.md	2026-03-30T22:16:48.860984Z	2026-03-31T03:00:17.426126Z	766a2869-31ba-4e23-afdb-2912f7d65e8b	a61ee137-7e16-4c6d-8f63-2bf1089d888d	gpt-5-4-thinking	146	6657	5	4	7e3c8d322296470fd82f0f3fd4927946d81f350250c6c93dfb58f0b320fef3db	dt-07-001|dt-08-001
dt-07-002	20	7	2	Prototype & Proof of Concept	69caf63d-e7f0-8327-a7d7-f2b9b3b2e634	conversations-019.json	dt-07-002--max-msp-supercollider-feasibility.md	2026-03-30T22:16:48.860984Z	2026-03-31T03:00:17.426126Z	95c9650a-2bc8-4192-bd2d-0cd34c73f1ca	4ff58680-4503-4d86-92e3-e3e36c1506d8	gpt-5-4-thinking	57	5436	0	32	201cba82a1855be4b609a0a6a6c152b434e4b6e5e4fb5843704e81aa47956c46	dt-07-002|dt-08-002
dt-07-003	21	7	3	Prototype & Proof of Concept	69caf63d-e7f0-8327-a7d7-f2b9b3b2e634	conversations-019.json	dt-07-003--dialogue-cluster-tracker-demo.md	2026-03-30T22:16:48.860984Z	2026-03-31T03:00:17.426126Z	d6997e0d-f44c-4604-afe6-0cd2331f3f3e	9d687a79-df8c-4140-92de-c0407fcb5b2e	gpt-5-4-thinking	163	7537	0	8	4e706b92101f7bb47ab675574329a74ccbac496755ff85b5578e136da38b605c	dt-07-003|dt-08-003
dt-07-004	22	7	4	Prototype & Proof of Concept	69caf63d-e7f0-8327-a7d7-f2b9b3b2e634	conversations-019.json	dt-07-004--voice-synthesis-injectability.md	2026-03-30T22:16:48.860984Z	2026-03-31T03:00:17.426126Z	b15365da-03db-4b14-b9a8-8ce59eb8366a	dbeaf755-a258-4ae0-8b9a-7cbef1a3b448	gpt-5-4-thinking	30	3689	0	8	d079ec4c1cf9671cb674a1832fb8eb2e6247a1daa817fbd67114468cb420221c	dt-07-004|dt-08-004
dt-07-005	23	7	5	Prototype & Proof of Concept	69caf63d-e7f0-8327-a7d7-f2b9b3b2e634	conversations-019.json	dt-07-005--voice-clone-audio-requirements.md	2026-03-30T22:16:48.860984Z	2026-03-31T03:00:17.426126Z	7f4e01cb-3559-47fb-b298-4b9a2271bfe1	aafbcfec-6149-46b2-b104-951a72fc4830|54dd9095-f60a-4f0d-b43a-b2f516e17cc5|501fc6e9-f9b7-4126-989c-16db30421e82	gpt-5-4-thinking	85	3621	0	4	5340709842afc9796ac63abe393551fd76954d37dc487b95d24f73e180f4f1c9	dt-07-005|dt-08-005
dt-07-006	24	7	6	Prototype & Proof of Concept	69caf63d-e7f0-8327-a7d7-f2b9b3b2e634	conversations-019.json	dt-07-006--theatre-company-voice-on-travel.md	2026-03-30T22:16:48.860984Z	2026-03-31T03:00:17.426126Z	46b05f81-614a-4592-9ceb-7dce2a368a84	40e2c0d7-a9d5-49b8-b4d5-5b16d1f4662f|f32ba670-bf5f-40f5-b549-2e9ac60ef8a5	gpt-5-4-thinking	66	4150	0	12	fce26566f3264daa444b9711d7a9cf7564c49adc80ccfafbbcfead9c79315b96	dt-07-006|dt-08-006
dt-07-007	25	7	7	Prototype & Proof of Concept	69caf63d-e7f0-8327-a7d7-f2b9b3b2e634	conversations-019.json	dt-07-007--theatre-voice-capture-sheet.md	2026-03-30T22:16:48.860984Z	2026-03-31T03:00:17.426126Z	63d2d986-4d1a-4956-8f3c-b995c1d15ce1	924336a5-bfd2-48a1-ad57-db53ee546483	gpt-5-4-thinking	180	9330	0	12	3363ae012cb5b8f02a21a4dab50151c20e9f7048a5497218d0f4b6c5251c53d7	dt-07-007|dt-08-007
dt-07-008	26	7	8	Prototype & Proof of Concept	69caf63d-e7f0-8327-a7d7-f2b9b3b2e634	conversations-019.json	dt-07-008--preconsidered-prompt-readiness.md	2026-03-30T22:16:48.860984Z	2026-03-31T03:00:17.426126Z	48fee094-a2ad-49ec-a5f0-5c2e999f9c36	a67f53b4-c223-4e73-8d5a-a5172bca2d0f|0e69cedb-ae4f-4c8b-9e70-d8731dc7ce39	gpt-5-4-thinking	101	6193	0	12	99a98a5af47611a51a88e9030d755f3e83258da24d5a5011276f2e808efe0205	
dt-08-001	27	8	1	Branch · Prototype & Proof of Concept	69cb38cf-de74-8327-8275-51d20948709e	conversations-019.json	dt-08-001--prototype-and-poc-path.md	2026-03-31T03:00:37.461552Z	2026-03-31T03:11:49.354190Z	766a2869-31ba-4e23-afdb-2912f7d65e8b	a61ee137-7e16-4c6d-8f63-2bf1089d888d	gpt-5-4-thinking	146	6657	5	4	7e3c8d322296470fd82f0f3fd4927946d81f350250c6c93dfb58f0b320fef3db	dt-07-001|dt-08-001
dt-08-002	28	8	2	Branch · Prototype & Proof of Concept	69cb38cf-de74-8327-8275-51d20948709e	conversations-019.json	dt-08-002--max-msp-supercollider-feasibility.md	2026-03-31T03:00:37.461552Z	2026-03-31T03:11:49.354190Z	95c9650a-2bc8-4192-bd2d-0cd34c73f1ca	4ff58680-4503-4d86-92e3-e3e36c1506d8	gpt-5-4-thinking	57	5436	0	32	201cba82a1855be4b609a0a6a6c152b434e4b6e5e4fb5843704e81aa47956c46	dt-07-002|dt-08-002
dt-08-003	29	8	3	Branch · Prototype & Proof of Concept	69cb38cf-de74-8327-8275-51d20948709e	conversations-019.json	dt-08-003--dialogue-cluster-tracker-demo.md	2026-03-31T03:00:37.461552Z	2026-03-31T03:11:49.354190Z	d6997e0d-f44c-4604-afe6-0cd2331f3f3e	9d687a79-df8c-4140-92de-c0407fcb5b2e	gpt-5-4-thinking	163	7537	0	8	4e706b92101f7bb47ab675574329a74ccbac496755ff85b5578e136da38b605c	dt-07-003|dt-08-003
dt-08-004	30	8	4	Branch · Prototype & Proof of Concept	69cb38cf-de74-8327-8275-51d20948709e	conversations-019.json	dt-08-004--voice-synthesis-injectability.md	2026-03-31T03:00:37.461552Z	2026-03-31T03:11:49.354190Z	b15365da-03db-4b14-b9a8-8ce59eb8366a	dbeaf755-a258-4ae0-8b9a-7cbef1a3b448	gpt-5-4-thinking	30	3689	0	8	d079ec4c1cf9671cb674a1832fb8eb2e6247a1daa817fbd67114468cb420221c	dt-07-004|dt-08-004
dt-08-005	31	8	5	Branch · Prototype & Proof of Concept	69cb38cf-de74-8327-8275-51d20948709e	conversations-019.json	dt-08-005--voice-clone-audio-requirements.md	2026-03-31T03:00:37.461552Z	2026-03-31T03:11:49.354190Z	7f4e01cb-3559-47fb-b298-4b9a2271bfe1	aafbcfec-6149-46b2-b104-951a72fc4830|54dd9095-f60a-4f0d-b43a-b2f516e17cc5|501fc6e9-f9b7-4126-989c-16db30421e82	gpt-5-4-thinking	85	3621	0	4	5340709842afc9796ac63abe393551fd76954d37dc487b95d24f73e180f4f1c9	dt-07-005|dt-08-005
dt-08-006	32	8	6	Branch · Prototype & Proof of Concept	69cb38cf-de74-8327-8275-51d20948709e	conversations-019.json	dt-08-006--theatre-company-voice-on-travel.md	2026-03-31T03:00:37.461552Z	2026-03-31T03:11:49.354190Z	46b05f81-614a-4592-9ceb-7dce2a368a84	40e2c0d7-a9d5-49b8-b4d5-5b16d1f4662f|f32ba670-bf5f-40f5-b549-2e9ac60ef8a5	gpt-5-4-thinking	66	4150	0	12	fce26566f3264daa444b9711d7a9cf7564c49adc80ccfafbbcfead9c79315b96	dt-07-006|dt-08-006
dt-08-007	33	8	7	Branch · Prototype & Proof of Concept	69cb38cf-de74-8327-8275-51d20948709e	conversations-019.json	dt-08-007--theatre-voice-capture-sheet.md	2026-03-31T03:00:37.461552Z	2026-03-31T03:11:49.354190Z	63d2d986-4d1a-4956-8f3c-b995c1d15ce1	924336a5-bfd2-48a1-ad57-db53ee546483	gpt-5-4-thinking	180	9330	0	12	3363ae012cb5b8f02a21a4dab50151c20e9f7048a5497218d0f4b6c5251c53d7	dt-07-007|dt-08-007
dt-08-008	34	8	8	Branch · Prototype & Proof of Concept	69cb38cf-de74-8327-8275-51d20948709e	conversations-019.json	dt-08-008--prompt-freedom-reduction.md	2026-03-31T03:00:37.461552Z	2026-03-31T03:11:49.354190Z	90988b45-2ab9-43e2-908b-4814504f7258	0b9e19ab-ac10-46fd-8cdb-06864c36280d|0d43cd66-1de1-406c-bb09-b9a6d35732d8	gpt-5-4-thinking	135	6059	0	4	8d340eb6d926f846dfa786fe5a9c9b453cb2a46164cb7a6c4a3574d86ae4c425	
dt-08-009	35	8	9	Branch · Prototype & Proof of Concept	69cb38cf-de74-8327-8275-51d20948709e	conversations-019.json	dt-08-009--prompt-governance-charter.md	2026-03-31T03:00:37.461552Z	2026-03-31T03:11:49.354190Z	4a2d0b64-926f-44de-8297-5fb3a01251ed	95cef750-b590-4c3d-8dc6-d6183011d064	gpt-5-4-thinking	25	16894	0	47	85be884bda30030cf2367c6ddb15e3ec42cd4f320d866ec6dbe5552794ca7f7a	
dt-09-001	36	9	1	Discrepancy Engine Design	69cb7d8b-a454-8331-8997-a52daa49b92e	conversations-019.json	dt-09-001--discrepancy-engine-design.md	2026-03-31T07:53:53.883461Z	2026-03-31T07:55:25.689184Z	d18f85c6-dc87-4529-9c7e-d7663ca98922	ac42fd1b-f161-4ab9-967e-09bfcf025759	gpt-5-4-thinking	224	7407	0	25	09119a76cb77aa5455f266b59c0d2e5015a1e44080b5a7fde8ee7036e48092e0	
